,Date,Finish,Length,Length(km),Race_ID,Stage#,Stage_Name,Stage_Type,Start,url
2355,2015-06-28,Omagh,168.0,,1084,0,National Championships Ireland - Road Race 2015,PRL,Omagh,race/nc-ireland/2015
2356,2015-06-28,Dobele,205.0,,1085,0,National Championships Latvia - Road Race 2015,PRL,Dobele,race/nc-latvia/2015
2357,2015-06-28,Ignalina,159.0,,1086,0,National Championships Lithuania - Road Race 2015,PRL,Ignalina,race/nc-lithuania/2015
2358,2015-06-28,Wiltz,151.7,,1087,0,National Championships Luxembourg - Road Race 2015,PRL,Wiltz,race/nc-luxembourg/2015
2359,2015-06-28,Kumanovo,120.0,,1088,0,National Championships Macedonia - Road Race 2015,PRL,Kumanovo,race/nc-macedonia/2015
2360,2015-06-28,Cimislia,136.0,,1089,0,National Championships Moldova - Road Race 2015,PRL,Chisinau,race/nc-moldova/2015
2361,2015-06-28,Pljevlja,0.0,,1090,0,National Championships Montenegro - Road Race 2015,PRL,Pljevlja,race/nc-montenegro/2015
2362,2015-06-28,Emmen,253.0,,1091,0,National Championships Netherlands - Road Race 2015,PRL,Emmen,race/nc-netherlands/2015
2363,2015-06-28,Lillehammer,182.0,,1092,0,National Championships Norway - Road Race 2015,PRL,Lillehammer,race/nc-norway/2015
2364,2015-06-28,Sobotka,234.0,,1093,0,National Championships Poland - Road Race 2015,PRL,Sobotka,race/nc-poland/2015
2365,2015-06-28,Miiercurea Ciuc,153.45,,1094,0,National Championships Romania - Road Race 2015,PRL,Miiercurea Ciuc,race/nc-romania/2015
2366,2015-06-28,Saransk,204.0,,1095,0,National Championships Russia - Road Race 2015,PRL,Saransk,race/nc-russia/2015
2367,2015-06-28,Kraljevo,132.3,,1096,0,National Championships Serbia - Road Race 2015,PRL,Kraljevo,race/nc-serbia/2015
2368,2015-06-28,Žilina,199.0,,1097,0,National Championships Slovakia - Road Race 2015,PRL,Žilina,race/nc-slovakia/2015
