,rider_url
1007,boy-van-poppel
1008,bradley-white
1009,simone-antonini
1010,john-lee-augustyn
1011,filippo-baggio
1012,paolo-bailetti
1013,oleg-berdos
1014,gabriele-bosisio
1015,stiven-fanelli
1016,matteo-fedi
1017,edoardo-girardi
1018,adrian-kurek
1019,sergio-lagana
1020,gianluca-maggiore
1022,davide-mucelli
1023,fabio-piscopiello
1024,frederico-rocchetti
1025,francisco-javier-patxi-vila
1026,gianfranco-visconti
1027,marco-zanotti
1,gediminas-bagdonas
8,frederic-brun-2
12,axel-domont
22,julian-kern
23,pierre-latour
45,evan-huffman
47,arman-kamyshev
51,aleksey-lutsenko
58,ruslan-tleubayev
71,moreno-hofland
81,ivar-slik
96,silvan-dillier
103,sebastian-lander
108,jakub-novak
115,julien-taramarcaz
131,michel-koch
136,nicolo-martinello
137,nariyuki-masuda
147,davide-villella
150,jon-aberasturi
156,tarik-chaoufi
164,ricardo-mestre
169,steffen-radochla
175,ioannis-tamouridis
178,robert-vrecer
191,alexis-guerin
195,olivier-le-gac
202,benoit-poitevin
214,rohan-dennis
231,glenn-o-shea
243,niccolo-bonifazio
245,enea-cambianica
248,valerio-conti
250,luca-dodi
258,andrea-palini
261,jan-polanc
263,ariel-maximiliano-richeze
271,kristijan-durasek
275,stig-broeckx
277,jorne-carolus
317,argiro-ospina
323,eloy-teruel
356,carlos-verona
369,damien-howson
371,jiyong-kang
398,bob-jungels
418,joe-dombrowski
419,joshua-edmondson
438,jonathan-tiernan-locke
443,nikias-arndt
455,nikodemus-holler
458,reinardt-janse-van-rensburg
459,quentin-jauregui
463,luka-mezgec
464,michael-olsson
473,yan-dong-xing
474,mikhail-antonov
478,sergei-chernetski
494,sergey-nikolaev
497,maxim-razumov
515,jesper-hansen-1
520,marko-kump
523,jay-mccarthy
530,pawel-poljanski
562,danny-van-poppel
575,roy-jans
577,stefano-nardelli
580,lander-seynaeve
590,matteo-di-serafino
592,patrick-facchini
594,marco-frapporti
595,mattia-gavazzi
597,yonder-godoy
598,ilia-koshevoy
599,alessandro-malaguti
605,diego-rosa
608,gianfranco-zilioli
609,andrea-zordan
613,francesco-manuel-bongiorno
617,donato-de-ieso
626,nicola-ruffoni
